"model","accuracy","precision","recall","f1","auc"
"xgboost",0.811,0.7317,0.7782,0.7542,0.8919
"rf_tuned",0.8,0.7162,0.7674,0.7409,0.8855
"elastic_tuned",0.7827,0.7165,0.6896,0.7028,0.87
